service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
66801,1,1,1,1,1,0,0,20241014,20241231
66802,1,1,1,1,0,0,0,20241014,20241231
66803,0,1,1,1,1,0,0,20241014,20241231
66804,0,1,1,1,1,0,0,20241014,20241231
66805,0,0,0,0,1,0,0,20241014,20241231
66806,0,0,0,0,0,1,0,20241014,20241231
66807,0,0,0,0,0,1,0,20241014,20241231
66808,0,0,0,0,0,0,1,20241014,20241231
66809,0,0,0,0,0,0,1,20241014,20241231
66810,0,0,1,1,1,1,0,20241014,20241231
66811,0,1,1,1,1,1,0,20241014,20241231
66812,0,1,1,1,1,1,0,20241014,20241231
66813,1,0,0,0,0,0,0,20241014,20241231
66814,1,0,0,0,0,0,0,20241014,20241231
66815,1,0,0,0,0,0,0,20241014,20241231
66816,0,1,0,0,0,0,0,20241014,20241231
66817,0,1,0,0,0,0,0,20241014,20241231
66818,1,0,1,1,1,0,0,20241014,20241231
66819,1,0,1,1,1,0,0,20241014,20241231
66820,0,0,1,0,0,0,0,20241014,20241231
66821,0,0,1,0,0,0,0,20241014,20241231
66822,1,1,0,1,1,0,0,20241014,20241231
66823,1,1,0,1,1,0,0,20241014,20241231
66824,0,0,0,1,0,0,0,20241014,20241231
66825,0,0,0,1,0,0,0,20241014,20241231
66826,1,1,1,0,1,0,0,20241014,20241231
66827,1,1,1,0,1,0,0,20241014,20241231
66828,0,1,1,0,0,0,0,20241014,20241231
66829,0,1,1,0,0,0,0,20241014,20241231
66830,1,0,0,1,1,0,0,20241014,20241231
66831,1,0,0,1,1,0,0,20241014,20241231
66832,1,1,0,0,1,0,0,20241014,20241231
66833,1,1,0,0,1,0,0,20241014,20241231
66834,1,1,1,1,1,0,1,20241014,20241231
66835,1,1,1,1,1,0,1,20241014,20241231
66836,1,1,1,1,1,1,0,20241014,20241231
66837,1,1,1,1,1,1,0,20241014,20241231
66838,1,1,1,1,1,1,0,20241014,20241231
66839,1,1,1,1,1,0,0,20241014,20241231
