service_id,date,exception_type
66801,20241128,2
66801,20241225,2
66802,20241128,2
66802,20241225,2
66803,20241128,2
66803,20241225,2
66804,20241129,2
66804,20241226,2
66805,20241128,2
66805,20241225,2
66806,20241128,2
66806,20241225,2
66807,20241129,2
66807,20241226,2
66808,20241129,2
66808,20241226,2
66809,20241128,1
66809,20241225,1
66810,20241129,2
66810,20241226,2
66811,20241128,2
66811,20241225,2
66812,20241129,2
66812,20241226,2
66813,20241128,2
66813,20241225,2
66814,20241129,2
66814,20241226,2
66815,20241129,1
66815,20241226,1
66816,20241128,2
66816,20241225,2
66817,20241129,2
66817,20241226,2
66818,20241128,2
66818,20241225,2
66819,20241129,2
66819,20241226,2
66820,20241128,2
66820,20241225,2
66821,20241129,2
66821,20241226,2
66822,20241128,2
66822,20241225,2
66823,20241129,2
66823,20241226,2
66824,20241128,2
66824,20241225,2
66825,20241129,2
66825,20241226,2
66826,20241128,2
66826,20241225,2
66827,20241129,2
66827,20241226,2
66828,20241128,2
66828,20241225,2
66829,20241129,2
66829,20241226,2
66830,20241128,2
66830,20241225,2
66831,20241129,2
66831,20241226,2
66832,20241128,2
66832,20241225,2
66833,20241129,2
66833,20241226,2
66834,20241128,2
66834,20241225,2
66835,20241129,2
66835,20241226,2
66836,20241128,2
66836,20241225,2
66837,20241129,2
66837,20241226,2
66838,20241129,1
66838,20241226,1
66839,20241129,1
66839,20241226,1
66840,20241128,1
66840,20241225,1
66841,20241128,2
66841,20241225,2
66842,20241129,2
66842,20241226,2
108501,20241128,2
108501,20241225,2
108502,20241128,2
108502,20241225,2
108503,20241128,2
108503,20241225,2
108504,20241129,2
108504,20241226,2
108505,20241128,2
108505,20241225,2
108506,20241128,2
108506,20241225,2
108507,20241129,2
108507,20241226,2
108508,20241129,2
108508,20241226,2
108509,20241128,1
108509,20241225,1
108510,20241129,2
108510,20241226,2
108511,20241128,2
108511,20241225,2
108512,20241129,2
108512,20241226,2
108513,20241128,2
108513,20241225,2
108514,20241129,2
108514,20241226,2
108515,20241129,1
108515,20241226,1
108516,20241128,2
108516,20241225,2
108517,20241129,2
108517,20241226,2
108518,20241128,2
108518,20241225,2
108519,20241129,2
108519,20241226,2
108520,20241128,2
108520,20241225,2
108521,20241129,2
108521,20241226,2
108522,20241128,2
108522,20241225,2
108523,20241129,2
108523,20241226,2
108524,20241128,2
108524,20241225,2
108525,20241129,2
108525,20241226,2
108526,20241128,2
108526,20241225,2
108527,20241129,2
108527,20241226,2
108528,20241128,2
108528,20241225,2
108529,20241129,2
108529,20241226,2
108530,20241128,2
108530,20241225,2
108531,20241129,2
108531,20241226,2
108532,20241128,2
108532,20241225,2
108533,20241129,2
108533,20241226,2
108534,20241128,2
108534,20241225,2
108535,20241129,2
108535,20241226,2
108536,20241128,2
108536,20241225,2
108537,20241129,2
108537,20241226,2
108538,20241129,1
108538,20241226,1
108539,20241129,1
108539,20241226,1
108540,20241128,1
108540,20241225,1
108541,20241128,2
108541,20241225,2
108542,20241129,2
108542,20241226,2
208501,20241128,2
208501,20241225,2
